"Id";"代号";"封装";"数量";"名称";"供应商和REF";
1;"Q7,Q6,Q1,Q2";"TO-220-3_Vertical";4;"75N75";;;
2;"C25,C24,C23,C22,C21,C3,C7,C8,C12";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";9;"0.1";;;
3;"J9";"TerminalBlock_bornier-2_P5.08mm";1;"FAN";;;
4;"D7,D6,D5,D4";"D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp";4;"12V";;;
5;"U15,U14,U13,U12";"DIP-4_W7.62mm";4;"TLP521";;;
6;"R13,R11,R8,R4";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"47k";;;
7;"R12,R10,R7,R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"470";;;
8;"Q5,Q3,Q4";"TO-220-3_Vertical";3;"50N06";;;
9;"C1,C5,C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1";;;
10;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"47/35V";;;
11;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1/35V";;;
12;"C6,C13,C14,C15";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"10";;;
13;"C9";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"220p";;;
14;"C10";"CP_Radial_D6.3mm_P2.50mm";1;"100/10V";;;
15;"C16,C17,C18,C19,C20";"CP_Radial_D6.3mm_P2.50mm";5;"100/35V";;;
16;"D1,D2,D3";"D_SMA_Handsoldering";3;"SS36";;;
17;"F1";"Fuse_Bourns_MF-RG300";1;"15A/30R300";;;
18;"F2";"Fuse_Bourns_MF-RG500";1;"30A/30R600";;;
19;"J1";"Molex_200528-0160_1x16-1MP_P1.00mm_Horizontal";1;"FPC16";;;
20;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"POWER";;;
21;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"D/A";;;
22;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"TEMP1";;;
23;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"BEDTEMP";;;
24;"J6";"TerminalBlock_bornier-2_P5.08mm";1;"BED";;;
25;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER5";;;
26;"J8";"TerminalBlock_bornier-2_P5.08mm";1;"VDRV";;;
27;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER0";;;
28;"J11";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER7";;;
29;"J12";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER6";;;
30;"J13";"PinHeader_1x02_P2.54mm_Vertical";1;"TEMP2";;;
31;"J14";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C";;;
32;"J15";"TerminalBlock_bornier-2_P5.08mm";1;"HEAT1";;;
33;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"TOOLSET";;;
34;"J17";"TerminalBlock_bornier-2_P5.08mm";1;"HEAT2";;;
35;"J18";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER1";;;
36;"J19";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER3";;;
37;"J20";"PinHeader_1x03_P2.54mm_Vertical";1;"AUX0";;;
38;"J21";"PinHeader_1x03_P2.54mm_Vertical";1;"XMIN";;;
39;"J22";"PinHeader_1x03_P2.54mm_Vertical";1;"XMAX";;;
40;"J23";"PinHeader_1x03_P2.54mm_Vertical";1;"AUX1";;;
41;"J24";"PinHeader_1x03_P2.54mm_Vertical";1;"YMIN";;;
42;"J25";"PinHeader_1x03_P2.54mm_Vertical";1;"YMAX";;;
43;"J26";"PinHeader_1x03_P2.54mm_Vertical";1;"AUX2";;;
44;"J27";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER2";;;
45;"J28";"PinHeader_1x04_P2.54mm_Vertical";1;"STEPPER4";;;
46;"J29";"PinHeader_1x03_P2.54mm_Vertical";1;"ZMIN";;;
47;"J30";"PinHeader_1x03_P2.54mm_Vertical";1;"ZMAX";;;
48;"J31";"PinHeader_1x03_P2.54mm_Vertical";1;"AUX3";;;
49;"L1";"L_Toroid_Horizontal_D7.8mm_P13.00mm_Diameter9-5mm_Amidon-T30";1;"47/3A";;;
50;"R1,R2,R5,R9";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"10k";;;
51;"R6";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"68k";;;
52;"R14,R15,R16,R17,R18,R19,R20";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";7;"15";;;
53;"SW1,SW2,SW3,SW4,SW5";"DIP-6_W7.62mm";5;"SW_DIP_x03";;;
54;"U1,U4";"SOP-16_4.55x10.3mm_P1.27mm";2;"74HC595";;;
55;"U2";"SOT-223-3_TabPin2";1;"AP1117-33";;;
56;"U3";"SOP-8_5.28x5.23mm_P1.27mm";1;"XL2001";;;
57;"U5";"SSOP-28_5.3x10.2mm_P0.65mm";1;"MCP23017_SS";;;
58;"U6";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"74HC273";;;
59;"U7,U8,U9,U10,U11";"Pololu_Breakout-16_15.2x20.3mm";5;"A4988";;;
